OBSERVASJONER - TIMEDATA;;;;;;;
;;;;;;;
Stasjoner;;;;;;;
StationNr;Name;InServiceSince;InServiceUntil;MetersAboveSeaLevel;Principality;County;RegionOrCountry
50480;BERGEN - SANDSLI;jul.83;;45;Bergen;Hordaland;VESTLANDET
50500;FLESLAND;okt.55;;48;Bergen;Hordaland;VESTLANDET
50503;SÆDALEN;nov.04;;215;Bergen;Hordaland;NORGE
50540;BERGEN - FLORIDA;nov.49;;12;Bergen;Hordaland;VESTLANDET
50570;SKREDDERDALEN;aug.16;;175;Bergen;Hordaland;NORGE
50865;GULLFJELLET;aug.16;;345;Bergen;Hordaland;NORGE
;;;;;;;
Elementer;;;;;;;
Kode;Navn;Enhet;;;;;
DD;Vindretning (FF);grader;;;;;
FF;Vindhastighet (10 meter over bakken);m/s;;;;;
RR_1;Nedbør (1 time);mm;;;;;
SA;Snødybde;cm;;;;;
TA;Lufttemperatur;Celcius;;;;;
WAWA;Været ved observasjonstida;kode;;;;;
;;;;;;;
;;;;;;;
Norsk Normaltid (NMT, Norwegian Mean Time) er det samme som sentraleuropeisk tid, tidssonen som ligger en time før UTC, og skrives dermed gjerne UTC+1. Det taes ikke hensyn til sommertid. NMT angir døgnets timer fra 01 til 24.;;;;;;;
****************** MELDING *****************;;;;;;;
50480 Ingen data for FF, DD, WAWA, SA;;;;;;;
********************************************;;;;;;;
****************** MELDING *****************;;;;;;;
50500 Ingen data for SA;;;;;;;
********************************************;;;;;;;
50540;03.05.2016-16:00;0;7,2;165;8,9; ; 
50540;03.05.2016-17:00;0;6;168;8,6; ; 
50540;03.05.2016-18:00;0,2;3,3;162;7,7; ; 
50540;03.05.2016-19:00;0,2;5,5;165;7,7; ; 
50540;03.05.2016-20:00;0;5;170;7,8; ; 
50540;03.05.2016-21:00;0;4,4;168;7,8; ; 
50540;03.05.2016-22:00;0,3;2,7;158;7; ; 
50540;03.05.2016-23:00;0,1;5,5;158;7,4; ; 
50540;04.05.2016-00:00;0,1;5;170;7,6; ; 
50540;04.05.2016-01:00;0;4,6;170;7,5; ; 
50540;04.05.2016-02:00;0;3,7;170;7,4; ; 
50540;04.05.2016-03:00;0;5,2;166;7,3; ; 
50540;04.05.2016-04:00;0;3,2;161;7,2; ; 
50540;04.05.2016-05:00;0;3,3;156;7,2; ; 
50540;04.05.2016-06:00;0;3,2;156;7,4; ; 
50540;04.05.2016-07:00;0;4;148;7,9; ; 
50540;04.05.2016-08:00;0;5,8;163;9; ; 
50540;04.05.2016-09:00;0;6,4;140;10,5; ; 
50540;04.05.2016-10:00;0;5,7;144;11,2; ; 
50540;04.05.2016-11:00;0;5,9;159;12,1; ; 
50540;04.05.2016-12:00;0;8;139;11,8; ; 
50540;04.05.2016-13:00;0;10,6;166;13; ; 
50540;04.05.2016-14:00;0;10,4;163;12,7; ; 
50540;04.05.2016-15:00;0;7,9;168;12; ; 
50540;04.05.2016-16:00;0;6,2;168;11,6; ; 
50540;04.05.2016-17:00;0;7,3;167;10,8; ; 
50540;04.05.2016-18:00;0;8,5;156;10,7; ; 
50540;04.05.2016-19:00;0;6,5;158;10,8; ; 
50540;04.05.2016-20:00;0;7,2;155;10,5; ; 
50540;04.05.2016-21:00;0;5,6;157;10; ; 
50540;04.05.2016-22:00;0;5,5;154;9,6; ; 
50540;04.05.2016-23:00;0;5,1;145;9,6; ; 
50540;05.05.2016-00:00;0;5,7;150;9,3; ; 
50540;05.05.2016-01:00;0;6,9;153;9,7; ; 
50540;05.05.2016-02:00;0;6,9;152;9,9; ; 
50540;05.05.2016-03:00;0;7,3;152;9,9; ; 
50540;05.05.2016-04:00;0;7,1;151;10; ; 
50540;05.05.2016-05:00;0;6,7;147;10,3; ; 
50540;05.05.2016-06:00;0;5,6;148;10,6; ; 
50540;05.05.2016-07:00;0;6,7;148;11; ; 
50540;05.05.2016-17:00;0;10,8;166;14; ; 
50540;05.05.2016-18:00;0;9,7;174;13,9; ; 
50540;05.05.2016-19:00;0;6,7;162;13,3; ; 
50540;05.05.2016-20:00;0;6,1;155;12,6; ; 
50540;05.05.2016-21:00;0;5,9;150;11,9; ; 
50540;05.05.2016-22:00;0;5,8;149;11,8; ; 
50540;05.05.2016-23:00;0;5,8;153;11,4; ; 
50540;06.05.2016-00:00;0;5,2;161;10,9; ; 
50540;06.05.2016-01:00;0;5,3;153;10,7; ; 
50540;06.05.2016-02:00;0;5,5;151;10,5; ; 
50540;06.05.2016-03:00;0;5,3;161;10,1; ; 
50540;06.05.2016-04:00;0;5;154;9,6; ; 
50540;06.05.2016-05:00;0;4,3;157;9,7; ; 
50540;06.05.2016-06:00;0;4,7;151;10; ; 
50540;06.05.2016-07:00;0;7,7;169;10,6; ; 
50540;06.05.2016-08:00;0;7,4;163;11,1; ; 
50540;06.05.2016-09:00;0;6,3;155;12,5; ; 
50540;06.05.2016-10:00;0;6,7;149;13,1; ; 
50540;06.05.2016-11:00;0;6,4;149;14,6; ; 
50540;06.05.2016-12:00;0;6,8;137;16; ; 
50540;06.05.2016-13:00;0;7,2;143;15,7; ; 
50540;06.05.2016-14:00;0;6,8;144;15,7; ; 
50540;06.05.2016-15:00;0;5,3;143;15,9; ; 
50540;06.05.2016-16:00;0;5,2;160;16; ; 
