Telledata: Rådata;;;;;Felt 1 og 3;Fra Festplassen;;;
Utskriftsdato: 27. februar 2017;;;;;Felt 1 og 3;Fra Festplassen;;;
Tellepunkt: 1200703 - CHRISTIESGT;;;;;;;;
EV 16 Hp: 15 Km: 1509;;;;;;;;
date;time;roadLaneMeasured;numOfVehicles;numOfVehiclesClass1;numOfVehiclesClass2;numOfVehiclesClass3;numOfVehiclesClass4;numOfVehiclesClass5;;
01.05.2016;24:00;1;92;81;2;2;5;2
01.05.2016;24:00;3;72;48;1;7;13;3
02.05.2016;01:00;1;50;44;1;3;1;1
02.05.2016;01:00;3;53;37;0;5;9;2
02.05.2016;02:00;1;25;24;1;0;0;0
02.05.2016;02:00;3;18;17;0;0;1;0
02.05.2016;03:00;1;17;17;0;0;0;0
02.05.2016;03:00;3;17;16;0;0;1;0
02.05.2016;04:00;1;10;10;0;0;0;0
02.05.2016;04:00;3;19;17;0;0;2;0
02.05.2016;05:00;1;16;14;0;2;0;0
02.05.2016;05:00;3;11;7;0;1;3;0
02.05.2016;06:00;1;27;18;3;4;1;1
02.05.2016;06:00;3;34;20;0;2;11;1
02.05.2016;07:00;1;202;162;3;19;13;5
02.05.2016;07:00;3;121;46;2;25;42;6
02.05.2016;08:00;1;420;343;22;34;15;5
02.05.2016;08:00;3;207;63;9;47;67;21
02.05.2016;09:00;1;510;447;23;27;10;3
02.05.2016;09:00;3;247;87;6;66;71;15
02.05.2016;10:00;1;423;367;18;22;8;6
02.05.2016;10:00;3;239;131;11;44;42;9
02.05.2016;11:00;1;450;389;24;29;6;1
02.05.2016;11:00;3;247;148;5;45;40;9
02.05.2016;12:00;1;441;386;23;25;6;1
02.05.2016;12:00;3;202;119;6;28;39;8
02.05.2016;13:00;1;458;412;27;12;7;0
02.05.2016;13:00;3;269;165;5;37;50;11
02.05.2016;14:00;1;453;400;19;21;11;1
02.05.2016;14:00;3;224;118;11;38;46;9
02.05.2016;15:00;1;453;393;14;31;12;3
